lat,lon,crs,tas_anom
-88.5,23.5,b'',6.369697
-88.5,24.5,b'',6.369411
-88.5,25.5,b'',6.3710136
-88.5,26.5,b'',6.375505
-88.5,27.5,b'',6.377708
-88.5,28.5,b'',6.378596
-88.5,29.5,b'',6.380177
-88.5,30.5,b'',6.3851075
-88.5,31.5,b'',6.3910127
-88.5,32.5,b'',6.3918056
-88.5,33.5,b'',6.389648
-88.5,34.5,b'',6.386621
-88.5,35.5,b'',6.387943
-88.5,36.5,b'',6.390554
-88.5,37.5,b'',6.3960266
-88.5,38.5,b'',6.4013243
-88.5,39.5,b'',6.404973
-88.5,40.5,b'',6.408979
-88.5,41.5,b'',6.4134817
-88.5,42.5,b'',6.4160824
-88.5,43.5,b'',6.4193354
-88.5,44.5,b'',6.422338
-88.5,45.5,b'',6.426136
-88.5,46.5,b'',6.4316154
-88.5,47.5,b'',6.429887
-88.5,48.5,b'',6.433784
-88.5,49.5,b'',6.43529
-88.5,50.5,b'',6.4356723
-88.5,51.5,b'',6.4362607
-88.5,52.5,b'',6.439326
-88.5,53.5,b'',6.4453683
-88.5,54.5,b'',6.450326
-88.5,55.5,b'',6.4528127
-88.5,56.5,b'',6.4524903
-88.5,57.5,b'',6.460102
-88.5,58.5,b'',6.465885
-88.5,59.5,b'',6.468151
-88.5,60.5,b'',6.471433
-88.5,61.5,b'',6.4761896
-88.5,62.5,b'',6.4820995
-88.5,63.5,b'',6.4861217
-88.5,64.5,b'',6.4924884
-88.5,65.5,b'',6.494415
-88.5,66.5,b'',6.4969187
-88.5,67.5,b'',6.5112076
-88.5,68.5,b'',6.5111165
-88.5,69.5,b'',6.516546
-88.5,70.5,b'',6.522673
-88.5,71.5,b'',6.5305247
-88.5,72.5,b'',6.527699
-88.5,73.5,b'',6.5356264
-88.5,74.5,b'',6.534912
-88.5,75.5,b'',6.5360074
-88.5,76.5,b'',6.538865
-88.5,77.5,b'',6.5404305
-88.5,78.5,b'',6.539679
-88.5,79.5,b'',6.5535154
-88.5,80.5,b'',6.5606103
-88.5,81.5,b'',6.5694604
-88.5,82.5,b'',6.569054
-88.5,83.5,b'',6.5729957
-88.5,84.5,b'',6.5755305
-88.5,85.5,b'',6.5779843
-88.5,86.5,b'',6.5789804
-88.5,87.5,b'',6.575832
-88.5,88.5,b'',6.580971
-88.5,89.5,b'',6.5840125
-88.5,90.5,b'',6.585293
-88.5,91.5,b'',6.579364
-88.5,92.5,b'',6.5775394
-88.5,93.5,b'',6.5738077
-88.5,94.5,b'',6.5802298
-88.5,95.5,b'',6.5838385
-88.5,96.5,b'',6.584719
-88.5,97.5,b'',6.578734
-88.5,98.5,b'',6.5774035
-88.5,99.5,b'',6.579676
-88.5,100.5,b'',6.578755
-88.5,101.5,b'',6.578641
-88.5,102.5,b'',6.5771117
-88.5,103.5,b'',6.5768037
-88.5,104.5,b'',6.577225
-88.5,105.5,b'',6.5737824
-88.5,106.5,b'',6.5687127
-88.5,107.5,b'',6.563923
-88.5,108.5,b'',6.559508
-88.5,109.5,b'',6.560026
-88.5,110.5,b'',6.5556498
-88.5,111.5,b'',6.5428047
-88.5,112.5,b'',6.541671
-88.5,113.5,b'',6.5405927
-88.5,114.5,b'',6.5324187
-88.5,115.5,b'',6.530874
-88.5,116.5,b'',6.5295887
-88.5,117.5,b'',6.524648
-88.5,118.5,b'',6.522213
-88.5,119.5,b'',6.513904
-88.5,120.5,b'',6.5085535
-88.5,121.5,b'',6.505036
-88.5,122.5,b'',6.4991636
-88.5,123.5,b'',6.482544
-88.5,124.5,b'',6.48287
-88.5,125.5,b'',6.4795775
-88.5,126.5,b'',6.472994
-88.5,127.5,b'',6.4585986
-88.5,128.5,b'',6.452117
-88.5,129.5,b'',6.441283
-88.5,130.5,b'',6.4354687
-88.5,131.5,b'',6.4264107
-88.5,132.5,b'',6.4124413
-88.5,133.5,b'',6.4113145
-88.5,134.5,b'',6.3994293
-88.5,135.5,b'',6.3894124
-88.5,136.5,b'',6.38012
-88.5,137.5,b'',6.3681226
-88.5,138.5,b'',6.359556
-88.5,139.5,b'',6.3399873
-88.5,140.5,b'',6.331722
-88.5,141.5,b'',6.32719
-88.5,142.5,b'',6.3149033
-88.5,143.5,b'',6.308331
-88.5,144.5,b'',6.298628
-88.5,145.5,b'',6.2831097
-88.5,146.5,b'',6.2699385
-88.5,147.5,b'',6.263662
-88.5,148.5,b'',6.2586126
-88.5,149.5,b'',6.247488
-88.5,150.5,b'',6.237498
-88.5,151.5,b'',6.2318826
-88.5,152.5,b'',6.222247
-88.5,153.5,b'',6.211584
-88.5,154.5,b'',6.2005415
-88.5,155.5,b'',6.191878
-88.5,156.5,b'',6.1844354
-88.5,157.5,b'',6.187252
-88.5,158.5,b'',6.176354
-88.5,159.5,b'',6.1760397
-88.5,160.5,b'',6.1732917
-88.5,161.5,b'',6.1626515
-88.5,162.5,b'',6.1600094
-88.5,163.5,b'',6.1594033
-88.5,164.5,b'',6.1655045
-88.5,165.5,b'',6.168522
-88.5,166.5,b'',6.1657386
-88.5,167.5,b'',6.15424
-88.5,168.5,b'',6.153541
-88.5,169.5,b'',6.1519957
-88.5,170.5,b'',6.1481376
-88.5,171.5,b'',6.139447
-88.5,172.5,b'',6.138377
-88.5,173.5,b'',6.1344485
-88.5,174.5,b'',6.1259813
-88.5,175.5,b'',6.1241555
-88.5,176.5,b'',6.11972
-88.5,177.5,b'',6.1184144
-88.5,178.5,b'',6.1082935
-88.5,179.5,b'',6.0961957
-87.5,-179.5,b'',5.729268
-87.5,-178.5,b'',5.7244377
-87.5,-177.5,b'',5.7150145
-87.5,-176.5,b'',5.7038198
-87.5,-175.5,b'',5.6924806
-87.5,-174.5,b'',5.6764474
-87.5,-173.5,b'',5.67648
-87.5,-172.5,b'',5.665427
-87.5,-171.5,b'',5.6557474
-87.5,-170.5,b'',5.634039
-87.5,-169.5,b'',5.6251893
-87.5,-168.5,b'',5.610078
-87.5,-167.5,b'',5.6007476
-87.5,-166.5,b'',5.5904126
-87.5,-165.5,b'',5.581802
-87.5,-164.5,b'',5.575566
-87.5,-163.5,b'',5.5648117
-87.5,-162.5,b'',5.569245
-87.5,-161.5,b'',5.567906
-87.5,-160.5,b'',5.571453
-87.5,-159.5,b'',5.5691996
-87.5,-158.5,b'',5.571003
-87.5,-157.5,b'',5.5724053
-87.5,-156.5,b'',5.568217
-87.5,-155.5,b'',5.568429
-87.5,-154.5,b'',5.5585413
